"","code_muni","ICB","populacao","qtd_empresas","area","disponibilidades","op_cred","emprestimos","fin","fin_agricultura_inv","fin_pecuaria_inv","fin_agricultura_com","fin_pecuaria_com","fin_agroindustrial","fin_imobiliarios","outras_op_cred","outros_cred","arr_mercantial","provisao_arr_mercantil","provisao_de_credito","ativos","depositos","poupanca","depositos_inter","relacoes_interfinanceiras","resultado","PLP","PLB","ICO","densidade_demografica","densidade_empresarial"
"91","1301001",NA,86226,4.20943930256742e-321,77337,4578576,0,0,374302,0,2719915,0,0,0,0,0,54704441,5519852,0,7882098,0,2702109,0,0,5255347,0,1,0,0.755900725942435,1.11493851584623,0
"92","1301100",NA,30792,1.08101563310065e-320,6096,1558957,0,0,2502630,0,0,-1279594,0,0,0,0,20323011,1028854,0,1319315,770,56392,0,0,2192452,0,1,0,0.828026250436172,5.0511811023622,0
"93","1301159",NA,19637,1.89968240825959e-320,2627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7.47506661591169,4.94065645841247e-324
"94","1301209",0.658774444756424,282464,5.33986150025219e-320,231884,13513076,1136396,0,9709682,58553,13687545,-1903183,0,0,0,0,144680938,26379865,0,15894517,1450,34501485,0,0,14210515,0,1,30.360442134608,0.590667644195718,1.21812630453158,0
"95","1301308",1,23549,1.09089694601747e-320,18701,816850,690550,0,0,0,35112,0,0,0,0,0,24653019,5771386,0,1611705,0,1767964,0,0,1364270,0,1,2.56022590688582,0.690982745410552,1.25923747393188,0
"96","1301407",1,66340,8.47816648263579e-321,29932,5212637,50907,0,137761,0,3072901,0,0,0,0,0,46705121,6171858,0,6692610,0,4381117,0,0,4779141,0,1,86.0611900131613,0.70853367222134,2.21635707603902,0
"97","1301506",NA,17186,2.01578783503229e-321,7506,617184,0,0,0,0,13634,0,0,0,0,0,12704902,2240855,0,2414026,0,0,0,0,705872,0,0,0,0.743737772316832,2.28963495869971,0
"98","1301605",NA,25871,1.62844036869275e-320,12155,2809654,0,0,0,0,74560,0,0,0,0,0,26956791,5508693,0,2568192,0,2399999,0,0,1683003,0,1,0,0.714942293638305,2.12842451665981,0
"99","1301654",NA,13815,7.85070311241741e-321,7584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1.82159810126582,0
"100","1301704",0.333835649735764,229892,3.41695800663806e-320,132444,8425776,72991242,0,9248300,40856,7398835,-2017855,0,0,0,0,201153623,21398714,0,23875474,0,82466607,0,0,16970859,0,1,1.12981509480274,0.729727158648262,1.73576756968983,0
"101","1301803",NA,24311,5.47918801237942e-321,12110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2.00751445086705,0
"102","1301852",1,122326,2.13139919615914e-320,4434,3299584,340329,0,39744124,0,38897,-2210698,0,0,0,0,46918389,8609026,0,5536171,8350,2694371,0,0,5231864,0,1,7.91695976540348,0.445331108731883,27.5881822282364,4.94065645841247e-324
"103","1301902",0.618868575034336,517990,1.63412212361992e-319,44460,11624656,3983655,0,18019054,751345,48578926,-9639941,0,0,0,0,302198048,79543830,0,26503417,15350,55746026,0,0,24814680,0,1,13.9936882084417,0.520041002911168,11.6506972559604,4.94065645841247e-324
"104","1301951",NA,10937,9.8319063522408e-322,25260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.432977038796516,0
"105","1302009",NA,10162,4.08592289110711e-321,4335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2.3441753171857,0
